build keys=1048576 fanout=16 records=16777216 hot=10485 capacity=178246 nocache=true elapsed_ms=320 rss_kib=3424 file_bytes=411500544 writes=2048
round=58 elapsed_us=7676 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=59
round=59 elapsed_us=7475 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=60
round=60 elapsed_us=7917 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=61
round=61 elapsed_us=7329 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=62
round=62 elapsed_us=7722 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=63
round=63 elapsed_us=7304 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=64
round=64 elapsed_us=7919 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=65
round=65 elapsed_us=7510 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=66
round=66 elapsed_us=8003 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=67
round=67 elapsed_us=7424 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=68
round=68 elapsed_us=7756 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=69
round=69 elapsed_us=7439 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=70
round=70 elapsed_us=7752 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=71
round=71 elapsed_us=7477 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=72
round=72 elapsed_us=7816 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=73
round=73 elapsed_us=7587 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=74
round=74 elapsed_us=7965 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=75
round=75 elapsed_us=7302 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=76
round=76 elapsed_us=7994 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=77
round=77 elapsed_us=7580 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=78
round=78 elapsed_us=8081 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=79
round=79 elapsed_us=7605 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=80
round=80 elapsed_us=8192 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=81
round=81 elapsed_us=7225 rss_kib=36144 reads=0 read_bytes=0 writes=0 active_keys=0 calls=82
round=82 elapsed_us=7872 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=83
round=83 elapsed_us=7306 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=0 calls=84
round=84 elapsed_us=7794 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=85
round=85 elapsed_us=7258 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=0 calls=86
round=86 elapsed_us=7895 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=87
round=87 elapsed_us=7515 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=0 calls=88
round=88 elapsed_us=7721 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=89
round=89 elapsed_us=7292 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=0 calls=90
round=90 elapsed_us=7907 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=91
