storage,keys,queries,capacity,workload,round,mode,mean_us,p50_us,p95_us,reads_per_query,bytes_per_query,peak_charge,peak_entries
resident,65536,256,4096,hot64,0,cursor,15.797,15.541,17.167,0.000,0.0,0,0
resident,65536,256,4096,hot64,0,uncached,64.239,63.750,72.791,0.000,0.0,0,0
resident,65536,256,4096,hot64,0,cached,49.534,48.333,69.208,0.000,0.0,3703,7
resident,65536,256,4096,hot64,1,cached,48.029,46.458,66.416,0.000,0.0,3703,7
resident,65536,256,4096,hot64,1,uncached,62.923,63.333,68.291,0.000,0.0,0,0
resident,65536,256,4096,hot64,1,cursor,16.129,15.792,18.042,0.000,0.0,0,0
paged,65536,256,4096,hot64,0,uncached,3842.749,3819.542,4338.583,112.875,24066756.0,0,0
paged,65536,256,4096,hot64,0,cached,1561.891,1395.708,3315.542,44.688,9528090.0,3703,7
paged,65536,256,4096,hot64,1,cached,1566.491,1416.542,3436.542,44.688,9528090.0,3703,7
paged,65536,256,4096,hot64,1,uncached,3844.696,3812.625,4321.458,112.875,24066756.0,0,0
