storage,keys,queries,capacity,workload,round,mode,mean_us,p50_us,p95_us,reads_per_query,bytes_per_query,peak_charge,peak_entries
resident,65536,256,65536,repeat,0,cursor,15.871,15.292,16.375,0.000,0.0,0,0
resident,65536,256,65536,repeat,0,uncached,61.700,62.000,65.292,0.000,0.0,0,0
resident,65536,256,65536,repeat,0,cached,2.033,1.459,1.625,0.000,0.0,529,1
resident,65536,256,65536,repeat,1,cached,1.972,1.459,1.625,0.000,0.0,529,1
resident,65536,256,65536,repeat,1,uncached,60.979,58.875,64.667,0.000,0.0,0,0
resident,65536,256,65536,repeat,1,cursor,15.497,15.000,16.625,0.000,0.0,0,0
resident,65536,256,65536,hot64,0,cursor,16.096,15.458,18.334,0.000,0.0,0,0
resident,65536,256,65536,hot64,0,uncached,59.935,58.375,64.959,0.000,0.0,0,0
resident,65536,256,65536,hot64,0,cached,23.056,19.166,48.959,0.000,0.0,65067,123
resident,65536,256,65536,hot64,1,cached,22.248,18.625,50.292,0.000,0.0,65067,123
resident,65536,256,65536,hot64,1,uncached,60.018,58.666,65.792,0.000,0.0,0,0
resident,65536,256,65536,hot64,1,cursor,16.202,15.875,18.250,0.000,0.0,0,0
resident,65536,256,65536,hot4096,0,cursor,30.058,27.458,44.875,0.000,0.0,0,0
resident,65536,256,65536,hot4096,0,uncached,71.428,70.375,83.667,0.000,0.0,0,0
resident,65536,256,65536,hot4096,0,cached,81.520,77.709,116.209,0.000,0.0,65067,123
resident,65536,256,65536,hot4096,1,cached,77.053,76.042,90.792,0.000,0.0,65067,123
resident,65536,256,65536,hot4096,1,uncached,68.055,65.167,87.208,0.000,0.0,0,0
resident,65536,256,65536,hot4096,1,cursor,27.566,25.375,39.083,0.000,0.0,0,0
resident,65536,256,65536,uniform,0,cursor,30.248,28.333,42.541,0.000,0.0,0,0
resident,65536,256,65536,uniform,0,uncached,71.597,69.875,85.250,0.000,0.0,0,0
resident,65536,256,65536,uniform,0,cached,75.174,74.084,85.208,0.000,0.0,65067,123
resident,65536,256,65536,uniform,1,cached,74.964,73.667,88.500,0.000,0.0,65067,123
resident,65536,256,65536,uniform,1,uncached,72.348,70.667,84.625,0.000,0.0,0,0
resident,65536,256,65536,uniform,1,cursor,30.686,29.083,41.208,0.000,0.0,0,0
resident,65536,256,65536,append,0,cursor,106.736,107.208,187.291,0.000,0.0,0,0
resident,65536,256,65536,append,0,uncached,773.400,793.542,1419.458,0.000,0.0,0,0
resident,65536,256,65536,append,0,cached,62.278,68.625,118.958,0.000,0.0,16913,1
resident,65536,256,65536,append,1,cached,63.379,72.000,120.333,0.000,0.0,16913,1
resident,65536,256,65536,append,1,uncached,779.287,803.958,1425.875,0.000,0.0,0,0
resident,65536,256,65536,append,1,cursor,105.532,105.875,186.167,0.000,0.0,0,0
paged,65536,256,65536,repeat,0,uncached,3644.228,3628.459,3731.291,112.000,23880192.0,0,0
paged,65536,256,65536,repeat,0,cached,17.532,1.542,1.584,0.438,93282.0,529,1
paged,65536,256,65536,repeat,1,cached,20.239,1.417,1.459,0.438,93282.0,529,1
paged,65536,256,65536,repeat,1,uncached,3650.655,3629.958,3796.500,112.000,23880192.0,0,0
paged,65536,256,65536,hot64,0,uncached,3845.493,3825.417,4360.916,112.875,24066756.0,0,0
paged,65536,256,65536,hot64,0,cached,189.182,19.042,1343.083,4.594,979461.0,65067,123
paged,65536,256,65536,hot64,1,cached,178.218,19.125,1145.291,4.594,979461.0,65067,123
paged,65536,256,65536,hot64,1,uncached,3818.487,3800.083,4304.666,112.875,24066756.0,0,0
paged,65536,256,65536,hot4096,0,uncached,3478.328,3513.250,4153.458,101.062,21548142.0,0,0
paged,65536,256,65536,hot4096,0,cached,2906.287,2844.708,3811.958,84.656,18050067.0,65067,123
paged,65536,256,65536,hot4096,1,cached,2880.822,2836.542,3801.833,84.656,18050067.0,65067,123
paged,65536,256,65536,hot4096,1,uncached,3431.135,3483.334,4068.333,101.062,21548142.0,0,0
paged,65536,256,65536,uniform,0,uncached,3478.647,3523.417,4043.500,102.156,21781347.0,0,0
paged,65536,256,65536,uniform,0,cached,3438.303,3496.208,3977.917,100.781,21488175.0,65067,123
paged,65536,256,65536,uniform,1,cached,3431.894,3489.167,3903.458,100.781,21488175.0,65067,123
paged,65536,256,65536,uniform,1,uncached,3496.853,3519.541,4055.334,102.156,21781347.0,0,0
paged,65536,256,65536,append,0,uncached,5737.313,5776.500,7526.958,240.500,24122800.0,0,0
paged,65536,256,65536,append,0,cached,88.726,80.125,127.042,1.438,95170.0,16913,1
paged,65536,256,65536,append,1,cached,92.529,81.125,128.542,1.438,95170.0,16913,1
paged,65536,256,65536,append,1,uncached,5715.508,5862.958,7516.000,240.500,24122800.0,0,0
