build keys=1048576 fanout=16 records=16777216 hot=10485 capacity=178246 nocache=true elapsed_ms=320 rss_kib=3296 file_bytes=411500544 writes=2048
round=58 elapsed_us=7930 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=59
round=59 elapsed_us=7411 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=0 calls=60
round=60 elapsed_us=7935 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=61
round=61 elapsed_us=7208 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=0 calls=62
round=62 elapsed_us=7792 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=63
round=63 elapsed_us=7245 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=0 calls=64
round=64 elapsed_us=8030 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=65
round=65 elapsed_us=7437 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=0 calls=66
round=66 elapsed_us=7959 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=67
round=67 elapsed_us=7452 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=0 calls=68
round=68 elapsed_us=7723 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=69
round=69 elapsed_us=7394 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=0 calls=70
round=70 elapsed_us=7906 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=71
round=71 elapsed_us=7498 rss_kib=25456 reads=0 read_bytes=0 writes=0 active_keys=0 calls=72
round=72 elapsed_us=7956 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=73
round=73 elapsed_us=7243 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=74
round=74 elapsed_us=7770 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=75
round=75 elapsed_us=7430 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=76
round=76 elapsed_us=7807 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=77
round=77 elapsed_us=7509 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=78
round=78 elapsed_us=8117 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=79
round=79 elapsed_us=7259 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=80
round=80 elapsed_us=7897 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=81
round=81 elapsed_us=7312 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=82
round=82 elapsed_us=7902 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=83
round=83 elapsed_us=7436 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=84
round=84 elapsed_us=7771 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=85
round=85 elapsed_us=7413 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=86
round=86 elapsed_us=7830 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=87
round=87 elapsed_us=7384 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=88
round=88 elapsed_us=7925 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=89
round=89 elapsed_us=7426 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=90
round=90 elapsed_us=7968 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=91
round=91 elapsed_us=7314 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=92
round=92 elapsed_us=7973 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=93
round=93 elapsed_us=7254 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=94
round=94 elapsed_us=7754 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=95
round=95 elapsed_us=7356 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=96
round=96 elapsed_us=7893 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=97
round=97 elapsed_us=7562 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=98
round=98 elapsed_us=7667 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=99
round=99 elapsed_us=7505 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=100
round=100 elapsed_us=7901 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=101
round=101 elapsed_us=7276 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=102
round=102 elapsed_us=7939 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=103
round=103 elapsed_us=7422 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=104
round=104 elapsed_us=7945 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=105
round=105 elapsed_us=7237 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=106
round=106 elapsed_us=7967 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=107
round=107 elapsed_us=7302 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=108
round=108 elapsed_us=8004 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=109
round=109 elapsed_us=7224 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=110
round=110 elapsed_us=7771 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=111
round=111 elapsed_us=7301 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=112
round=112 elapsed_us=8056 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=113
round=113 elapsed_us=7643 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=114
round=114 elapsed_us=8087 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=115
round=115 elapsed_us=7252 rss_kib=25472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=116
round=116 elapsed_us=7882 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=117
round=117 elapsed_us=7287 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=118
round=118 elapsed_us=7864 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=119
round=119 elapsed_us=7423 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=120
round=120 elapsed_us=7784 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=121
round=121 elapsed_us=7324 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=122
round=122 elapsed_us=7947 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=123
round=123 elapsed_us=7434 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=124
round=124 elapsed_us=7955 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=125
round=125 elapsed_us=7486 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=126
round=126 elapsed_us=7718 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=127
round=127 elapsed_us=7385 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=128
round=128 elapsed_us=7731 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=129
round=129 elapsed_us=7463 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=130
round=130 elapsed_us=7941 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=131
round=131 elapsed_us=7231 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=132
